username, email, password, score, finished games, last_game_exists, last_game_last_level
alifathi, aldigg@gmail.com, 585178Ali!, 1999, 23, 0, 2
sina, aligg@gmail.com, 585178Ali!, 1231, 22, 0, 0
armin, alifs@gmail.com, 585178Ali!, 599, 1, 0, 0
alifathi1, alafvi@gmail.com, 585178Ali!, 12, 1, 0, 0
alifathi2, alaai@gmail.com, 585178Ali!, 13, 1, 0, 0
alifathi3, alwsfai@gmail.com, 585178Ali!, 234, 4233, 0, 0
alifathi4, aadfli@gmail.com, 585178Ali!, 31, 24, 0, 0
alifathi5, wre@gmail.com, 585178Ali!, 14, 2, 0, 0
alifathi6, we@gmail.com, 585178Ali!, 22, 1, 0, 0
alifathi7, aliasf@gmail.com, 585178Ali!, 24, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
